suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case3375wp_k.m,pglib_opf_case3375wp_k.m,JuMP,24350,42624,147625,171344,2.69e-7,0.005260808,0.000159734,0.013601533,0.011060168,0.70013447
OPF-rect,pglib_opf_case3970_goc.m,pglib_opf_case3970_goc.m,JuMP,35270,62368,229185,268329,6.07e-7,0.007130339,0.000259528,0.018657671,0.018307344,1.133084389
OPF-rect,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,JuMP,36696,64997,240487,281733,4.88e-7,0.006266689,0.000269102,0.018557698,0.021415691,1.171231596
OPF-rect,pglib_opf_case4601_goc.m,pglib_opf_case4601_goc.m,JuMP,38814,68798,249623,292062,6.22e-7,0.007688235,0.000284238,0.020668758,0.020825952,1.245615432
OPF-rect,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,75527,280381,328615,4.9e-7,0.010081913,0.000310243,0.025766901,0.025491836,1.351438157
OPF-rect,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,JuMP,34758,60624,213389,246806,8.4e-7,0.006172249,0.00029114,0.017376467,0.017759573,1.149357919
OPF-rect,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,73704,268589,314564,5.19e-7,0.008299848,0.000299818,0.022293241,0.022212064,1.318267346
OPF-rect,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,66751,237431,274769,1.074e-6,0.007264145,0.00031257,0.020343337,0.019863937,1.229029451
OPF-rect,pglib_opf_case5658_epigrids.m,pglib_opf_case5658_epigrids.m,JuMP,48552,86137,313885,367368,5.69e-7,0.008750585,0.000357074,0.025781388,0.028209965,1.711392031
OPF-rect,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,88873,314865,365810,4.94e-7,0.01060506,0.000358548,0.02808627,0.027579516,1.762269743
OPF-rect,pglib_opf_case6470_rte.m,pglib_opf_case6470_rte.m,JuMP,50482,88916,315709,365612,8.8e-7,0.012410691,0.000416304,0.028958699,0.02938345,1.49188388
OPF-rect,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,89114,316147,365864,7.94e-7,0.012747595,0.000413837,0.031950974,0.028849024,1.532764368
OPF-rect,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,JuMP,50546,89320,316817,366514,8.0e-7,0.012749333,0.000414854,0.030893218,0.030334731,1.54682893
OPF-rect,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,JuMP,62116,109978,399325,467070,7.98e-7,0.012308945,0.000509325,0.03498207,0.035441676,2.011481471
OPF-rect,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,135476,504239,580410,2.086e-6,0.017695823,0.00075608,0.047976206,0.045655522,3.839077784
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,149308,568661,651944,1.631e-6,0.021874454,0.000804945,0.059128406,0.054199713,3.144278843
OPF-rect,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,JuMP,83572,149770,548619,643433,5.6e-7,0.019604399,0.000600132,0.052033408,0.0508277,2.77271697
OPF-rect,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,JuMP,76804,132352,467229,542865,2.536e-6,0.020580982,0.000732829,0.044912698,0.045181627,2.356558363
OPF-rect,pglib_opf_case10192_epigrids.m,pglib_opf_case10192_epigrids.m,JuMP,89850,159834,586541,687875,2.328e-6,0.021184118,0.0007321,0.053008964,0.057117885,3.437434388
OPF-rect,pglib_opf_case10480_goc.m,pglib_opf_case10480_goc.m,JuMP,96750,171834,637859,747934,1.496e-6,0.026956755,0.000790911,0.064865165,0.064489744,3.744474693
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,197906,738289,835838,4.502e-6,0.031223223,0.001276889,0.080901563,0.071634704,5.248842184
OPF-rect,pglib_opf_case19402_goc.m,pglib_opf_case19402_goc.m,JuMP,179562,320537,1194981,1401511,1.649e-6,0.055262218,0.001460092,0.127663314,0.120406229,8.363934151
OPF-rect,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,316434,1155259,1352801,6.233e-6,0.052161475,0.001662043,0.121541516,0.1240755,7.949159482
OPF-rect,pglib_opf_case24464_goc.m,pglib_opf_case24464_goc.m,JuMP,203374,362569,1349817,1573878,2.554e-6,0.079464155,0.00185022,0.170718431,0.136193512,10.198377388
OPF-rect,pglib_opf_case30000_goc.m,pglib_opf_case30000_goc.m,JuMP,208624,367752,1261905,1467582,2.273e-6,0.06473722,0.001894548,0.138980685,0.123234506,9.737249203
OPF-rect,pglib_opf_case78484_epigrids.m,pglib_opf_case78484_epigrids.m,JuMP,674562,1196018,4359963,5102458,7.413e-6,0.253303099,0.007565863,0.547257034,0.488043515,30.859160884
