suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-rect,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,ExaModels,282,440,1728,2179,1.8e-8,1.849e-6,6.5e-8,5.62e-6,6.39e-6,6.5e-8,6.832e-6,6.36e-6,0.000516602
OPF-rect,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,ExaModels,448,732,2918,3712,2.0e-8,3.121e-6,6.1e-8,9.704e-6,1.0962e-5,6.3e-8,1.1776e-5,1.123e-5,0.000638342
OPF-rect,pglib_opf_case60_c.m,pglib_opf_case60_c.m,ExaModels,518,797,3224,4082,1.8e-8,3.46e-6,8.8e-8,1.0675e-5,1.2204e-5,1.06e-7,1.3187e-5,1.2258e-5,0.000756974
OPF-rect,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,ExaModels,824,1060,4478,5580,1.9e-8,4.752e-6,2.13e-7,1.4692e-5,1.6718e-5,2.53e-7,1.8085e-5,1.6964e-5,0.00096983
OPF-rect,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,ExaModels,1042,1738,7280,9369,1.8e-8,7.877e-6,9.1e-8,2.5518e-5,2.8744e-5,9.7e-8,3.1016e-5,2.9035e-5,0.001021581
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,ExaModels,1088,1657,6770,8577,1.8e-8,7.332e-6,1.56e-7,2.2859e-5,2.5927e-5,2.03e-7,2.7934e-5,2.6112e-5,0.001084337
OPF-rect,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,ExaModels,1484,2475,10086,12915,1.8e-8,1.0883e-5,1.04e-7,3.48e-5,3.9409e-5,1.1e-7,4.1587e-5,3.8973e-5,0.001350124
OPF-rect,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,ExaModels,1468,2379,9550,12152,1.8e-8,1.0361e-5,1.32e-7,3.2453e-5,3.7562e-5,1.51e-7,3.887e-5,3.7014e-5,0.001371427
OPF-rect,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,ExaModels,1608,2594,10406,13232,1.9e-8,1.1164e-5,1.46e-7,3.5236e-5,4.0526e-5,1.58e-7,4.2217e-5,4.0131e-5,0.001513126
OPF-rect,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,ExaModels,1456,2316,9118,11531,1.8e-8,9.845e-6,1.43e-7,3.0416e-5,3.5209e-5,1.58e-7,3.6903e-5,3.4597e-5,0.001461289
OPF-rect,pglib_opf_case240_pserc.m,pglib_opf_case240_pserc.m,ExaModels,2558,3857,16064,20402,1.9e-8,1.753e-5,6.27e-7,5.5013e-5,6.2423e-5,6.69e-7,6.7151e-5,6.1301e-5,0.002154396
OPF-rect,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,ExaModels,2382,3778,15092,19134,1.8e-8,1.6285e-5,2.29e-7,5.0879e-5,5.8404e-5,2.55e-7,6.0669e-5,5.7052e-5,0.0020231
