suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1775,6561,7460,8.3e-8,8.4125e-5,7.028e-6,0.000287975,0.000176634,0.020753187
OPF-rect,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,JuMP,1484,2637,9829,11112,7.4e-8,0.000131877,7.87e-6,0.000416706,0.000269572,0.030906987
OPF-rect,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,JuMP,1468,2558,9271,9926,8.8e-8,0.000120749,9.209e-6,0.000406327,0.000262527,0.027788341
OPF-rect,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,JuMP,1608,2791,10027,11672,1.02e-7,0.000133609,1.2204e-5,0.000414439,0.000290578,0.031565855
OPF-rect,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,JuMP,1456,2516,8725,10149,1.6e-7,0.000111282,1.0463e-5,0.000347565,0.000231104,0.03127402
OPF-rect,pglib_opf_case240_pserc.m,pglib_opf_case240_pserc.m,JuMP,2558,4097,15583,16868,2.26e-7,0.0002036,2.438e-5,0.000612765,0.000429035,0.047849095
OPF-rect,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,JuMP,2382,4078,14553,16112,1.27e-7,0.000196226,1.7671e-5,0.000626375,0.000407169,0.046165455
OPF-rect,pglib_opf_case500_goc.m,pglib_opf_case500_goc.m,JuMP,4254,7097,25701,29786,3.63e-7,0.000343159,3.9511e-5,0.001095419,0.00072893,0.087474596
OPF-rect,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,JuMP,4110,7155,24631,27968,1.69e-7,0.000338053,3.358e-5,0.001170135,0.00069105,0.079781347
OPF-rect,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,JuMP,5432,9564,32775,38034,2.7e-7,0.000533067,4.4085e-5,0.001794141,0.001082192,0.116241999
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,19354,71813,83234,3.67e-7,0.001279121,0.000114178,0.005279624,0.003637441,0.274045393
OPF-rect,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,JuMP,15246,26778,97585,113590,3.21e-7,0.002277181,0.000131686,0.008133835,0.006918917,0.503120411
OPF-rect,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,JuMP,14480,25270,89215,100844,4.02e-7,0.001697775,0.000139809,0.00632529,0.007003586,0.427726362
